attribute name,description,"required (if User cannot provide, can we direct them to enter 'not collected', 'not applicable' or 'missing' )",value type definition,enum options
collected_by,Name of persons or institute who collected the sample,TRUE,String,
collection_date,"Date of sampling, in 'DD-Mmm-YYYY', 'Mmm-YYYY' or 'YYYY' format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard 'YYYY-mm-dd', 'YYYY-mm' or 'YYYY-mm-ddThh:mm:ss' (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)",TRUE,String,
geo_loc_name,"Geographical origin of the sample; use the appropriate name from the <a href='http://www.insdc.org/documents/country-qualifier-vocabulary' target=""_blank""/>INSDC</a> . Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps""",TRUE,String,
isolate,"Either this field, or 'strain' are required.  Enter 'not collected', 'not applicable', or 'missing' if no other information is available. Identification or description of the specific individual from which this sample was obtained",TRUE,String,
strain,"Either this field, or  'isolate' are required.   Enter 'not collected', 'not applicable', or 'missing' if no other information is available. microbial or eukaryotic strain name",TRUE,String,
isolation source,"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.",TRUE,String,
lat_lon,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format 'd[d.dddd] N|S d[dd.dddd] W|E', eg, 38.98 N 77.11 W",TRUE,String,
organism,Binomial nomenclature of BioSample organism.  Genus species only.  Search the <a href='http://www.ncbi.nlm.nih.gov/taxonomy' target='_blank'/>NCBI Taxonomy Database</a> to ensure correct spelling.  Incorrect spelling will result in a validation error and require resubmission.,TRUE,String,
sample_title,Descriptive Biosample title.,TRUE,String,
sra_bio_sample_package,"BioSample Package name and version.  Environmental, food, or other pathogen.",TRUE,Enum,Pathogen.env.1.0
culture_collection,"Name of source institute and unique culture identifier. See the <a href='http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier' target=""_blank""/> INSDC </a> description for the proper format and list of allowed institutes.",FALSE,String,
description,Free text for description of BioSample,FALSE,String,
genotype,observed genotype,FALSE,String,
passage_history,Number of passages and passage method,FALSE,String,
pathotype,"Some bacterial specific pathotypes (example Eschericia coli - STEC, UPEC)",FALSE,String,
serotype,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serogroup. e.g. serotype=""H1N1"" in Influenza A virus CY098518.",FALSE,String,
serovar,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serotype. Sometimes used as species identifier in bacteria with shaky taxonomy, e.g. Leptospira, serovar saopaolo S76607 (65357 in Entrez).",FALSE,String,
specimen_voucher,"Identifier for the physical specimen. Use format: """"[<institution-code>:[<collection-code>:]]<specimen_id>"""", eg, """"UAM:Mamm:52179"""". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: <a href='http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier' target=""_blank""/>the INSDC page</a>.",FALSE,String,
subgroup,Taxonomy below subspecies; sometimes used in viruses to denote subgroups taken from a single isolate.,FALSE,String,
subtype,"Used as classifier in viruses (e.g. HIV type 1, Group M, Subtype A).",FALSE,String,
