attribute name,attribute description,"required (If you cannot provide,  enter 'not collected', 'not applicable' or 'missing'.)",value type definition,enum value options (you must enter one of these values),
collection_date,"Date of sampling, in 'DD-Mmm-YYYY', 'Mmm-YYYY' or 'YYYY' format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard 'YYYY-mm-dd', 'YYYY-mm' or 'YYYY-mm-ddThh:mm:ss' (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)",TRUE,String,,
geo_loc_name,"Geographical origin of the sample; use the appropriate name from the <a href='http://www.insdc.org/documents/country-qualifier-vocabulary' target=""_blank""/>INSDC</a> . Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps""",TRUE,String,,
host,"Either this field, or 'lab_host' are required.   Enter 'not collected', 'not applicable', or 'missing' if no other information is available. The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, 'Homo sapiens'.",TRUE,String,,
lab_host,"Either this field, or 'host' are required.  Enter 'not collected', 'not applicable', or 'missing' if no other information is available.  Scientific name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained, e.g., Escherichia coli DH5a, or Homo sapiens HeLa cells",TRUE,String,,
isolate,Identification or description of the specific individual from which this sample was obtained,TRUE,String,,
isolation_source,"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.",TRUE,String,,
organism,Binomial nomenclature of BioSample organism.  Genus species only.  Search the <a href='http://www.ncbi.nlm.nih.gov/taxonomy' target='_blank'/>NCBI Taxonomy Database</a> to ensure correct spelling.  Incorrect spelling will result in a validation error and require resubmission.,TRUE,String,,
sample_title,Descriptive Biosample title.,TRUE,String,,
sra_bio_sample_package,BioSample Package name and version.  Use for all virus samples not directly associated with disease. Viral pathogens should be submitted using the Pathogen: Clinical or host-associated pathogen package.,TRUE,Enum,Virus.1.0,
strain,Microbial or eukaryotic strain name,TRUE,String,,
altitude,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.,FALSE,String,,
biomaterial_provider,"Name and address of the lab or PI, or a culture collection identifier",FALSE,String,,
collected_by,Name of persons or institute who collected the sample,FALSE,String,,
culture_collection,"Name of source institute and unique culture identifier. See the <a href='http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier' target=""_blank""/> INSDC </a> description for the proper format and list of allowed institutes.",FALSE,String,,
depth,"Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples.",FALSE,String,,
description,Free text for description of BioSample,FALSE,String,,
disease,"list of diseases diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), free text for non-human. For DO terms, please see <a href='http://sourceforge.net/p/gemina/code/HEAD/tree/trunk/Gemina/ontologies/gemina_symptom.obo' target='_blank'/>the Gemina ontology</a>.",FALSE,String,,
env_biome,"Descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link:<a href='http://www.environmentontology.org/Browse-EnvO' target='_blank'/>EnvO</a>",FALSE,String,,
genotype,Observed genotype,FALSE,String,,
host_tissue_sampled,"Type of tissue the initial sample was taken from. Controlled vocabulary, <a href='http://bioportal.bioontology.org/ontologies/1005' target='_blank'> BRENDA Tissue and Enzyme Source Ontology</a>",FALSE,String,,
identified_by,Name of the taxonomist who identified the specimen,FALSE,String,,
lat_lon,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format 'd[d.dddd] N|S d[dd.dddd] W|E', eg, 38.98 N 77.11 W",FALSE,String,,
passage_history,Number of passages and passage method,FALSE,String,,
sample_size,"Amount or size of sample (volume, mass or area) that was collected",FALSE,String,,
serovar,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serotype. Sometimes used as species identifier in bacteria with shaky taxonomy, e.g. Leptospira, serovar saopaolo S76607 (65357 in Entrez).",FALSE,String,,
specimen_voucher,"Identifier for the physical specimen. Use format: """"[<institution-code>:[<collection-code>:]]<specimen_id>"""", eg, """"UAM:Mamm:52179"""". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: <a href='http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier' target=""_blank""/>the INSDC page</a>.",FALSE,String,,
strain,Microbial or eukaryotic strain name,FALSE,String,,
temp,Temperature of the sample at time of sampling,FALSE,String,,
